TITLE,SCORE,UPS,VIEWS,COMMENTS,FAVORITE COUNT,LINK
My top 10 anime of 2015,12054,12942,338118,937,12729,https://imgur.com/a/AXa78
17 animated cartoons for adults (mostly),12034,12269,309811,678,11711,https://imgur.com/a/zvURD
just sayin,12010,12278,8540,984,2720,https://i.imgur.com/hwLfQLW.jpg
Comedy Animes you should definitely watch,11965,12080,568854,667,11536,https://imgur.com/a/D2u4Q
The Rolling Girls - An anime produced by Studio Wit,11941,12116,503356,493,11845,https://imgur.com/a/RTuJJ
Some anime I believe you can enjoy,11894,12814,267539,789,11202,https://imgur.com/a/XJXOG
He has his priorities straight,11886,11829,562013,382,5510,https://imgur.com/a/8hyE8
The Ultimate Anime Recommendation Flowchart,11860,12527,219596,1003,14731,https://i.imgur.com/yPVPj9Q.jpg
10 Enjoyable Anime to Watch! (No Particular Order),11735,11844,511536,807,11418,https://imgur.com/a/kdVXv
10 Anime For The Oder Audience You May Not Know About,11711,11994,376839,841,11420,https://imgur.com/a/sTpZ8
I know imgur doesnt like anime but maybe they like it out of context?,11569,11878,480263,1065,9061,https://imgur.com/a/8JRkw
People doing the anime glasses thing,11568,11268,1195936,357,5717,https://imgur.com/a/na8M5
First Cake day was a few days ago,11463,11391,584821,621,10631,https://imgur.com/a/OdJpi
Mako Monogatari (Mako's Story),11462,11643,409262,402,7650,https://imgur.com/a/nWKo4
.,11435,11561,180190,279,6274,https://imgur.com/a/AMlV7
Dragon Ball Historia Part 1. Age 0-733,11427,11679,409320,361,9702,https://imgur.com/a/4j9Ta
Anime Recommendation (7 TV shows and 3 Movies),11250,11931,452771,699,12580,https://imgur.com/a/ElOBZ
A few awesome anime with interesting/unique art styles.,11234,11313,535330,592,11923,https://imgur.com/a/o20jW
potato,11232,11136,458967,404,6560,https://i.imgur.com/RqmsAJN.gif
Anime / scenery wallpapers,11219,11393,195943,161,10170,https://imgur.com/a/SBhEW
Worth a watch,11156,11554,186876,501,10053,https://imgur.com/a/rwGjO
Artist draws people as anime characters,11121,11109,496134,605,6766,https://imgur.com/a/q7orY
My favorite anime are shit...,11116,11526,210618,976,10268,https://imgur.com/a/j7DBt
"O Greentext, Where Art Thou?",11019,11196,19029,352,3987,https://i.imgur.com/JMCjArT.png
The humans shall pay for this,10926,11054,259567,254,6927,http://i.imgur.com/Co1iOrjh.gif
Can opener sound,10919,10971,363343,185,4182,https://imgur.com/a/LQbiY
"I'll take the downvotes on this one, it'll be worth it!",10879,12463,466221,1055,10818,https://imgur.com/a/TMUpD
I love seeing pussy in anime,10861,11141,363281,484,5223,https://i.imgur.com/QTgjlWO.gif
Must Watch Anime Movies Pt. 3,10839,11124,577799,605,11127,https://imgur.com/a/ZDpo2
Anime recommendation chart for beginners ,10748,11053,281713,1237,17237,https://imgur.com/a/XMmGO
Samuel L. Jackson ( ͡° ͜ʖ ͡°),10667,10658,339534,455,4811,https://imgur.com/a/ruJ30
Me browsing imgur at 4am,10614,10736,64489,267,5449,https://i.imgur.com/ZLkiMt4.gif
Realistic Dragonball Z Villains,10609,10743,448152,576,6906,https://imgur.com/a/hsjMj
Anime I Highly Recommend and Short Descriptions,10529,11067,273202,912,10427,https://imgur.com/a/Zt88j
I need FINISHED anime please.,10502,10656,548631,1631,9397,https://imgur.com/a/NTUpM
Anime 101,10502,11293,184301,721,9834,https://imgur.com/a/MoUra
A simple yet informative guide to understanding boob showcasing,10430,10351,524667,685,6026,https://imgur.com/a/K8s4h
Humanized Disney characters,10329,10473,487137,1105,7470,https://imgur.com/a/GLd5n
Short anime series recommendations for everyone!,10254,10775,173622,771,9957,https://imgur.com/a/PEEvk
Animator redraws his sons art into Anime,10246,10253,300173,524,6787,https://imgur.com/a/7WvrN
Must Watch Anime Movies Pt. 2,10244,10434,541681,269,10603,https://imgur.com/a/ZWYiX
