TITLE,SCORE,UPS,VIEWS,COMMENTS,FAVORITE COUNT,LINK
MRW I stop lurking and realize i can downvote,5635,6273,51587,223,2151,https://i.imgur.com/RS3TPj5.gif
How it feels to submit to user sub.,5633,5884,97564,195,1949,https://i.imgur.com/a96VhMR.gif
Except for the brah part,5631,5656,178989,271,1428,https://imgur.com/a/WftSZpp
DEATH NOTE,5618,5620,151477,187,1748,https://imgur.com/a/DqFTknK
The ultimate anime recommendation flowchart,5605,4623,801125,293,8212,https://i.imgur.com/q9Xjv4p.jpg
Opening front page and seeing my post,5604,5621,147168,161,2520,https://imgur.com/a/1shR3TI
I finally finished making my Angewomon cosplay wings!,5599,5681,172593,217,1417,https://imgur.com/a/RN3NyUT
Studio Ghibli on Netflix,5580,5600,151319,592,1541,https://imgur.com/a/HzHz3YA
Frieza,5578,5765,25207,205,2188,https://i.imgur.com/PmpgXHW.jpg
Alien Girl Visits Earth!,5572,5771,124480,765,2582,https://imgur.com/a/7pKWLi2
Respect her.,5560,5820,10050,195,2035,https://i.imgur.com/x5Ib9Vr.jpg
"Since there are so many anime lists, I made a random manga list!",5530,5629,257983,329,6931,https://imgur.com/a/FPHAg
Ya'll wanna something cute as hell?,5525,5599,203188,231,2742,https://imgur.com/a/Gpy91Tx
Smooth Jazz,5523,5481,343617,375,3129,https://imgur.com/a/F6MeK
95.310% accuracy,5520,5659,175300,398,2137,https://imgur.com/a/ZktqgZJ
DBZ Historia Part 2 Age 720-749,5513,5746,284893,299,4431,https://imgur.com/a/OwYxX
Anime and Manga Reaction Image dump,5509,5616,135363,590,5491,https://imgur.com/a/szCvyGY
AMV Done Right,5498,5617,195235,601,6407,https://imgur.com/a/umuuumN
Now listen here you little shit,5492,5606,27901,265,2285,https://i.imgur.com/Wt0z9Vv.gif
Finally finished Reflective Stocking Cosplay,5490,5688,153826,207,1619,https://imgur.com/a/uDl13Qy
When I read that someone firebombed Kyoto Animation,5478,5522,167217,698,1510,https://imgur.com/a/MGzFiWC
I MADE THIS FOR YOU!!!!,5442,5555,695631,275,2283,https://i.imgur.com/QEVtqqq.gif
Please don't,5427,5526,155852,669,1822,https://imgur.com/a/DFmBR2S
Anime and history,5420,5502,134044,318,2905,https://imgur.com/a/Ig29Ftp
This Uta cosplay is so spot-on he might as well be Uta (Tokyo Ghoul),5408,5094,493312,354,2590,https://imgur.com/a/u3C3w
Sup Imgur... How late is it?,5401,5908,10649,420,2191,https://i.imgur.com/rlKDbny.jpg
"If you only face forward, there is something you will miss seeing. - Vash the Stampede",5394,6163,32198,224,1561,https://i.imgur.com/x9jdATq.gif
Trump Vs. Biden,5359,5474,107429,313,2704,https://imgur.com/a/abA0m9v
Anime doodlers unite!,5347,5458,198062,324,3274,https://imgur.com/a/im5kE
Lust Cosplay from Fullmetal Alchemist,5344,5525,155338,246,2122,https://imgur.com/a/ROSjyGA
"Toru Hagakure, Invisible Girl cosplay",5339,5314,249685,222,1143,https://imgur.com/a/8XbNtdr
My top 5 anime to binge watch,5332,5957,99440,342,5661,https://imgur.com/a/bc9sp
A Legend...,5328,5381,233025,354,1759,https://imgur.com/a/OGMj3
how to: a guide for gentlemen,5311,5346,314740,361,2400,https://imgur.com/a/9Ndqt
I relate to Moon-Chan.,5298,5605,245207,431,3121,https://imgur.com/a/p8C90
The Feels are over 9000!,5297,5285,186177,230,503,https://imgur.com/a/oQnzP
An important message from Mei,5296,5400,138341,172,511,https://imgur.com/a/Au1BH7X
Disney movies as anime,5275,5405,201102,273,4231,https://imgur.com/a/r4Wk9NI
What a time to be alive,5271,5345,233527,467,1532,https://imgur.com/a/rmpAq
Fanbase for everything,5257,5659,158874,245,4146,https://imgur.com/a/oYHWZ
Mother son cosplay.,5253,5297,234784,216,1242,https://imgur.com/a/0XJQH
Change of Scenery ,5239,5170,212981,76,5906,https://imgur.com/a/2sTmy
Dump for Drew 49 - Anime,5231,5431,185431,397,3447,https://imgur.com/a/JYKxDxX
How to become the strongest person on Earth(tutorial),5209,5356,67912,340,3032,http://i.imgur.com/kKjOILph.gif
Anime vs Reality,5207,5420,214197,430,3268,https://imgur.com/a/il5xa
is this a dead(pool) meme?,5203,5286,193850,138,2030,https://imgur.com/a/aUwAIss
Before and after,5199,5361,161337,703,2606,https://imgur.com/a/2lcvs
One Punch feels,5193,5306,185147,305,2308,https://imgur.com/a/arYI3
Seems like a much better system IMO,5169,5143,183876,195,481,https://imgur.com/a/Qls1ouB
Truly a first world problem.,5144,5197,150215,259,2582,https://imgur.com/a/XFkzm
The art quality in Attack on Titan is truly second to none,5141,5006,27623,268,1469,https://i.imgur.com/4oSNaWG.png
Anime In Under 10 Words or less,5135,5352,218524,574,6688,https://imgur.com/a/JLpEu
Out of context anime is my favorite thing,5130,5248,103440,275,3209,https://imgur.com/a/WIbnm
Here's a small anime dump for you all... ,5122,5176,179265,434,6946,https://imgur.com/a/VlJdaZH
attack on titan with zombies,5112,5270,45965,232,4487,http://i.imgur.com/66p67enh.gif
Art by Miura Naoko ,5105,5200,157416,209,4976,https://imgur.com/a/JoQznok
"Jeez, even the background char’s are kinda recognizable ",5099,5145,206552,651,2231,https://imgur.com/a/Jfq1lSP
Smirkle is a slut.,5094,5170,140547,285,1723,https://imgur.com/a/6TgKckx
Rest in Peace,5084,5110,183134,273,1074,https://imgur.com/a/owElUFy
What To Watch For Summer 2019,5069,5174,159100,401,7270,https://imgur.com/a/yrQZUxd
Some more anime recommendations: Action/Adventure genre edition,5055,5254,208688,716,7780,https://imgur.com/a/BTHRC
"Before the Tokyo 2020 Olympics were canceled, some Japanese artists presented the country flags as if they were anime characters",5054,5061,174757,503,3146,https://imgur.com/a/NqnIsyr
When learned the truth,5042,5217,92929,312,4117,https://imgur.com/a/NbOZ6
.<,5030,5058,159107,357,479,https://imgur.com/a/RE0ywpA
This Douche Got 15 years in prison.,5009,5057,207233,990,1466,https://imgur.com/a/KN0v4
Dump for Drew 60 - Anime,5007,5144,153402,426,3046,https://imgur.com/a/xLJQ8U9
Ny Hero Academia meme dump,5006,5072,188854,190,3446,https://imgur.com/a/dU7sUZw
#Team Human.....,5005,5549,27668,164,188,https://i.imgur.com/yDMGqIR.gif
"OC D&D x anime gifs, part 2",5004,5628,123223,136,3550,https://imgur.com/a/uvZyC
Cringe dump,4990,5120,217901,723,1976,https://imgur.com/a/YcsZd
"Film and TV fanart by artist ""Gashi-Gashi""",4987,5039,207444,233,3857,https://imgur.com/a/JVtVp
You're out of here!,4985,4990,213850,260,1579,https://imgur.com/a/H3lN6
Studio Ghibli artwork ,4977,4947,200141,178,4438,https://imgur.com/a/l21Yp9r
Life advice from 38 anime characters ,4972,5015,178897,327,5123,https://imgur.com/a/t8uoKLb
Stranger things,4965,5052,143347,142,1691,https://imgur.com/a/wH0yc5F
A Tribute to Kyoto Animation,4962,5009,130587,304,2805,https://imgur.com/a/Sjk17OJ
If brand names were anime characters,4957,5224,147551,464,4126,https://imgur.com/a/7Q1JgCt
Earth-Chan > Bowsette,4956,5151,205419,244,1189,https://imgur.com/a/H1eVg1R
Drawings!,4947,5059,168723,131,3102,https://imgur.com/a/3iTEg
Here’s some of the best anime shows out there (part 2),4943,5147,200600,667,6959,https://imgur.com/a/XImCy
Testicle difficulties,4935,5004,213670,378,1320,https://imgur.com/a/bY1y0
Garden of Words Gif,4932,4944,102214,122,4105,https://imgur.com/a/VMJiS
FMAB Wallpaper dump,4918,4951,221959,229,3712,https://imgur.com/a/r0n3vB9
/r/anime recommendation chart 6.0,4910,4978,380413,580,9658,https://imgur.com/a/nnG8W
Figuring out how the skull of this anime person would look since her mouth is almost in line with where her eyes start.,4892,4941,159772,301,1507,https://i.imgur.com/8bWlP5n.jpg
Want some dark anime to watch? Here's some of my recommendations,4888,4960,133772,444,6859,https://imgur.com/a/FDDDQ1V
(REPOST) Helping out a brotha choosing your anime!,4886,5016,135781,600,7508,https://imgur.com/a/4wbbRRp
I love this so much,4884,4869,218906,124,1838,https://imgur.com/a/WQXcUYM
Reflective Stocking Cosplay,4883,5017,153777,349,1327,https://imgur.com/a/68rlOvG
Anime Recommendation List,4864,5095,167341,660,7017,https://imgur.com/a/D8kPIDQ
Anime I've Watched Alphabetized....sort of...,4849,4943,150807,467,6977,https://imgur.com/a/lOtjEfd
"Loops, like a donut.",4847,5011,30494,254,2057,https://i.imgur.com/tZ3g41d.gif
When can I say this ......,4833,4866,148363,142,963,https://imgur.com/a/RnCG7pk
Lust FMA- Box Turtle Cosplay,4813,5061,206187,370,1527,https://imgur.com/a/Gy44Z
truth?,4805,5041,218018,300,2651,https://imgur.com/a/7MbIo
News from Fukushima,4803,4852,207860,190,4134,https://imgur.com/a/zk92u
Just sayin...,4790,4818,149989,369,473,https://imgur.com/a/33MTfsQ
Change of Scenery Pt. 2,4789,4738,202068,93,5020,https://imgur.com/a/ge05kW5
Want some anime to watch? Here's some more of my recommendations,4784,4850,155091,489,7040,https://imgur.com/a/VVGCjHY
Heres a lot of recent Pokemon Terrariums that I have made! What is your favorite?,4783,4786,153206,271,2727,https://imgur.com/a/r5yi8Mo
Be considerate please,4779,4829,175574,191,2460,https://imgur.com/a/zg3ygHe
Looking at you,4768,4823,201001,360,1492,https://imgur.com/a/mJb6w
:c,4767,4779,174778,79,641,https://imgur.com/a/CWIis4L
Concerned moms against anime,4757,4567,22646,372,1230,https://i.imgur.com/ugfaJUv.png
"12 favourite, anime list. Hope you guys get good use of it.",4757,4804,121440,722,6609,https://imgur.com/a/NGN55O3
Sick of crappy anime top 10's?,4755,5002,60505,461,4386,https://imgur.com/a/HyHaM
????????????,4752,4847,201011,386,3372,https://imgur.com/a/gen1eT3
That one guy in each anime,4741,4780,143961,322,1208,https://imgur.com/a/SmuA2FZ
Nezuko the secret babysitter,4734,4822,143472,201,3086,https://imgur.com/a/I1mXqzw
I heard a Husky was cast as Ein in Netflix Cowboy Bebop... Can my dog be cast instead?,4734,4759,145142,278,732,https://imgur.com/a/Dwr8PCw
Ghost in the Shell,4696,4717,302476,379,2458,https://imgur.com/a/N6QIT
Press F to pay respect,4684,4743,147827,296,1220,https://imgur.com/a/PeOLAxl
Butterflies apparently fly up to the stratosphere,4681,4760,172643,330,3113,https://imgur.com/a/Hgb49vl
.,4674,4694,164732,192,1699,https://imgur.com/a/VuMqyoU
Magic,4671,4810,36495,510,2434,https://i.imgur.com/gvlAvuh.gif
Anime I Thought Were Worthwhile,4668,5012,109952,402,4435,https://imgur.com/a/Zh4uF
One cool player of the baseballs,4648,4615,135242,130,813,https://imgur.com/a/LPxxMoJ
*Blushes*,4641,4870,32090,127,2521,http://i.imgur.com/NDuMUjsh.gif
Anime Dump with a little lewd,4631,4784,238400,598,3220,https://imgur.com/a/7a9ka
Gotta love the internet ,4630,4779,157101,415,2092,https://imgur.com/a/mL4z4zG
Smol dump out of order.,4621,4739,194691,138,1387,https://imgur.com/a/kvK2G2f
For da beginners like me,4620,4808,177503,565,7504,https://imgur.com/a/GnbPxBU
There's one in every group,4616,4644,180384,288,1494,https://imgur.com/a/9F1T4
Anime=Heresy,4607,4756,155738,307,2535,https://imgur.com/a/TmmbQxk
Sharing a little something I did,4603,4654,126628,185,2959,https://imgur.com/a/pIEFrcF
Anime Food: Jade Dumplings,4598,4614,151930,156,3589,https://imgur.com/a/Iz5ZEMq
Old School Anime FTW,4593,4653,106000,324,4853,https://i.imgur.com/5veRPHA.gif
Anime Directors,4585,4635,137961,275,5443,https://imgur.com/a/qjhT9IS
Damn this hit me hard,4580,4557,138084,174,620,https://imgur.com/a/HYLQEHl
More out of context anime,4574,4689,185043,338,4695,https://imgur.com/a/yRSkx6F
Upgrade ,4572,4293,705951,262,1279,http://i.imgur.com/5VAnuemh.gif
"""I raised that boy""",4562,4614,155174,290,2320,https://imgur.com/a/xD6YQED
Anime/Manga Recommendation Charts Collection v1.1,4561,4684,155045,332,7125,https://imgur.com/a/crycnel
Classical art reimagined,4558,4623,115175,111,2413,https://imgur.com/a/osQA3Vz
Zelda stuff,4554,4598,180132,434,3531,https://imgur.com/a/vztxHrF
Unique High Quality Cowboy Bebop  Pictures 50+,4551,4622,188558,254,4191,https://imgur.com/a/8pAz5
"I'm an illustrator and I tried to create fake still frames from a non-existing anime feature film called ""Robo-bee adventure"" What do you think?",4538,4515,157037,413,1912,https://imgur.com/a/A0JC9hM
Looks like one of GHOST IN THE SHELL scene but this is an actual building in Macau,4533,4488,163627,127,1831,https://imgur.com/a/vlm0035
Painting Over Pokemon Cards: Piplup process,4532,4579,193253,248,1350,https://imgur.com/a/g4j6GUU
Releasing pressure limits!,4530,4599,453109,548,3453,https://i.imgur.com/Ff2bToX.gif
I will steal your eye water,4530,4651,145308,204,2531,https://imgur.com/a/k56oy
Take a gander at those chrome tabs,4528,4751,9273,123,2277,https://i.imgur.com/hQlEqZU.jpg
Don't lie; you've tried this too.,4514,4384,126524,331,2142,https://i.imgur.com/dZtFNGc.gif
First ALTDS of the new year! Sorry it took so long *Disclaimer Version*,4499,4706,201466,594,6937,https://imgur.com/a/1bCBh
I used to collect odd and/or out of context anime screenshots,4498,4701,87297,266,3270,https://imgur.com/a/AnF6t
Character Vs Cosplay (@enjinight),4487,4662,168511,284,2631,https://imgur.com/a/DEbLTUq
Bruh,4485,4473,139416,420,1090,https://imgur.com/a/YTOZtNb
Anime....,4478,4732,202054,253,1983,https://imgur.com/a/K2QES
Little Witch Academia,4475,4515,207561,181,1679,https://imgur.com/a/OdbVz
Ash’s Story,4453,4432,145060,90,867,https://imgur.com/a/v7r5iQF
cute witch buy wallpaper,4450,1458,6136982,75,943,http://i.imgur.com/VeIFp74h.gif
Assorted Animemes with Varying Amounts of .jpeg,4448,4495,200127,303,2566,https://imgur.com/a/IJqBC
When Senpai notices our Twitter.,4442,4462,192287,291,1092,https://imgur.com/a/z4pOY
Treasure! What do you think? ,4441,4529,180555,197,1021,https://imgur.com/a/MDwGUzH
658 pages flipbook,4434,4202,656527,137,1178,https://i.imgur.com/KCsRyky.mp4
Thanos alternative goal,4429,4517,209422,541,1939,https://imgur.com/a/eQzRQsV
this makes miss my childhood :'),4427,4452,135807,217,1188,https://imgur.com/a/qDGsh5z
#2018 ^_^,4425,4515,217865,185,1956,https://imgur.com/a/OQalN
A dump I guess,4420,4523,123026,97,1066,https://imgur.com/a/2Dg1eOh
Sharing a little neat trick I learned on how to draw arms.,4420,4421,94726,247,2495,https://imgur.com/a/rGarwwE
I'm celebrating the World Cup in Anime style [Yes I'm German],4408,4040,21982,197,1698,https://i.imgur.com/ocrzzFw.jpg
Checkmate,4408,4459,152766,201,1257,https://imgur.com/a/6PQCBiv
"""Younger sister it is""",4404,4462,147401,392,2023,https://imgur.com/a/UGazBhK
Internet Explorer vs. Chrome,4402,4459,147299,500,2351,https://imgur.com/a/MGkV4RW
Crawling Dreams,4401,4683,197756,353,3536,https://imgur.com/a/KNkXl
Animes to watch while the world is ending,4398,4462,135964,412,5785,https://imgur.com/a/cVIkhm3
*Intensifies*,4396,4488,141697,185,2774,https://imgur.com/a/Xgauj
"Realistic? , This Anime Rain Tho",4387,4421,204556,224,1854,https://imgur.com/a/BwPFg
A Lesser Known Celebrity Death,4387,4423,194388,185,1631,https://imgur.com/a/r6UOw
No more Minecraft genitals,4387,4375,156123,193,492,https://imgur.com/a/hEZ6AoU
GENETICS,4369,4536,261080,940,1478,https://imgur.com/a/XWQhk
When People Take Anime Too Far...,4357,4446,81021,168,2056,https://imgur.com/a/iwm4l
What is she...,4355,4455,91948,249,2400,https://imgur.com/a/8KZLkq2
Oh man that bounce when he hits﻿,4349,4340,206224,370,1001,https://imgur.com/a/y3nBF
Impulse Control,4346,4404,118538,101,3372,https://imgur.com/a/cYDPZcZ
Earth-Chan is not alone!,4335,4555,200989,416,3522,https://imgur.com/a/vc4Y3
STARWARS,4332,2804,3214956,85,1517,https://i.imgur.com/Giyh8dI.gif
Anime Memes,4325,4442,179454,253,1716,https://imgur.com/a/2wDtPXe
Boku No Hero dumparoonie!,4324,4473,165316,234,3195,https://imgur.com/a/EmPMs1W
What to watch for Summer 2018,4322,4458,186970,423,7068,https://imgur.com/a/xyr7PYN
"Anime Protagonist Syndrome, Vol. 2 [LONG]",4319,4364,178813,225,3803,https://imgur.com/a/vo7mSYh
Fascinating facts about anime,4312,4401,189616,330,2422,https://imgur.com/a/W7xDL
"I was bored and looking up voice actors for Avatar: The Last Airbender and The Legend Of Korra, and a few of these really surprised me.",4304,4347,150628,217,2193,https://imgur.com/a/U2czt
*Drinks water erotically*,4301,4756,127072,324,2264,https://i.imgur.com/kLsijBw.gif
Kwai ,4287,4312,190196,364,742,https://imgur.com/a/CyX9D
How it feels when Team Human has more points,4281,4826,90665,152,158,https://imgur.com/a/YzWji
A small Anime dump to watch over christmas,4279,4496,171431,811,6139,https://imgur.com/a/UoO2k
Anime Memes,4278,4323,127035,543,1372,https://imgur.com/a/hJfDMMa
Anime Recommendations!,4248,4317,139613,305,6530,https://imgur.com/a/Yq6FIS3
For your future cringe dump compilation.,4241,4437,11093,570,1409,https://i.imgur.com/UKAysX2.png
My personal top Animes so far.,4237,4501,95765,509,3989,https://imgur.com/a/6v6cH
Freaking out over Japan trip in 4 days so.... Anime that have made me cry and where to find them.,4233,4339,181184,504,5347,https://imgur.com/a/YHnC34V
Taxi (Horror),4232,4213,138829,292,1262,https://imgur.com/a/9syk4iM
Anime List - A bit of everything for everyone!,4221,4435,101434,501,4125,https://imgur.com/a/6kGUZ
Console war...,4205,4313,122947,511,2428,https://imgur.com/a/6zwmDjI
"Remember the rules, Usersub",4186,4273,183824,329,1322,https://imgur.com/a/AAVE2eq
Every Single time,4182,4211,129027,291,966,https://imgur.com/a/1ukn8eo
When you start watching a new series but it suddenly turns a bit weird,4177,3970,735172,351,1597,https://i.imgur.com/5rIJwoj.gif
[OC]  Beach Girl Gif,4175,4447,121205,202,2448,https://imgur.com/a/sATJOFo
Perks of obtaining the Harem Ending,4169,4031,19778,258,1700,https://i.imgur.com/rHmdakz.jpg
" Today I learned that ""Sonyporn"" is a genre of art in Japan.",4169,4294,232302,341,3144,https://imgur.com/a/7VNq2
Alita: Battle Angel cosplay,4161,4296,160781,215,2465,https://imgur.com/a/Zsht7ZP
